Церемония	Актриса	Фильм(ы)	Роль
1-я	Джанет Гейнор	Седьмое небо	Дайана
1-я	Джанет Гейнор	Уличный ангел	Анджела
1-я	Джанет Гейнор	Восход солнца	жена
1-я	Луиза Дрессер	Корабль приплывает	миссис Плезник
1-я	Глория Свенсон	Сэди Томпсон	Сэди Томпсон
2-я	Мэри Пикфорд	Кокетка	Норма Безант
2-я	Рут Чаттертон	Мадам Икс	Жаклин Флорио
2-я	Бетти Компсон	Зазывала	Кэрри
2-я	Джинн Иглс (посмертно)	Письмо	Лесли Кросби
2-я	Коринна Гриффит	Божественная леди	леди Эмма Гамильтон
2-я	Бесси Лав	Бродвейская мелодия	Хэнк Махони
3-я	Норма Ширер	Развод	Джерри Бернард Мартин
3-я	Нэнси Кэрролл	Торжество дьявола	Хэлли Хобарт
3-я	Рут Чаттертон	Сара и сын	Сара Сторм
3-я	Грета Гарбо	Анна Кристи	Анна Кристи
3-я	Норма Ширер	Роман	Рита Каваллини
3-я	Норма Ширер	Их собственное желание	Люсия «Лалли» Марлетт
3-я	Глория Свенсон	Правонарушительница	Марион Доннелл
4-я	Мари Дресслер	Мин и Билл	Мин Дивот
4-я	Марлен Дитрих	Марокко	мадемуазель Эми Джолли
4-я	Айрин Данн	Симаррон	Сабра Крават
4-я	Энн Хардинг	Праздник	Линда Сетон
4-я	Норма Ширер	Вольная душа	Джен Эш
5-я	Хелен Хейс	Грех Мадлон Клоде	Мадлон Клоде
5-я	Мари Дресслер	Эмма	Эмма Тэтчер Смит
5-я	Линн Фонтэнн	Гвардеец	актриса
6-я	Кэтрин Хепбёрн	Ранняя слава	Ева Лавлейс
6-я	Мэй Робсон	Леди на один день	«Яблочная Энни»
6-я	Дайана Уиньярд	Кавалькада	Джейн Мэрриот
7-я	Клодетт Кольбер	Это случилось однажды ночью	Элли Эндрюс
7-я	Грейс Мур	Одна ночь любви	Мэри Барретт
7-я	Норма Ширер	Барретты с Уимпоул-стрит	Элизабет Барретт Браунинг
7-я	Бетт Дейвис	Бремя страстей человеческих	Милдред Роджерс
8-я	Бетт Дейвис	Опасная	Джойс Хит
8-я	Элизабет Бергнер	Никогда не покидай меня	Джемма Джонс
8-я	Клодетт Кольбер	Внутренние миры	доктор Джейн Эверест
8-я	Кэтрин Хепбёрн	Элис Адамс	Элис Адамс
8-я	Мириам Хопкинс	Бекки Шарп	Бекки Шарп
8-я	Мерл Оберон	Тёмный ангел	Китти Вэйн
9-я	Луиза Райнер	Великий Зигфелд	Анна Хелд
9-я	Айрин Данн	Теодора сходит с ума	Теодора Линн
9-я	Глэдис Джордж	Отвага — второе имя Кэрри	Кэрри Снайдер
9-я	Кэрол Ломбард	Мой слуга Годфри	Айрин Буллок
9-я	Норма Ширер	Ромео и Джульетта	Джульетта Капулетти
10-я	Луиза Райнер	Благословенная земля	О-Лан
10-я	Айрин Данн	Ужасная правда	Люси Уорринер
10-я	Грета Гарбо	Дама с камелиями	Маргарита Готье
10-я	Джанет Гейнор	Звезда родилась	Эстер Виктория Блоджетт / Вики Лестер
10-я	Барбара Стэнвик	Стелла Даллас	Стелла Мартин Даллас
11-я	Бетт Дейвис	Иезавель	Джули Марсден
11-я	Фэй Бейнтер	Белые знамёна	Ханна Пармали
11-я	Уэнди Хиллер	Пигмалион	Элиза Дулиттл
11-я	Норма Ширер	Мария-Антуанетта	королева Франции Мария-Антуанетта
11-я	Маргарет Саллаван	Три товарища	Патриция «Пэт» Холлманн
12-я	Вивьен Ли	Унесённые ветром	Скарлетт О’Хара
12-я	Бетт Дейвис	Победить темноту	Джудит Трэйхерн
12-я	Айрин Данн	Любовный роман	Терри Маккей
12-я	Грета Гарбо	Ниночка	Нина Ивановна Якушова
12-я	Грир Гарсон	До свиданья, мистер Чипс	Кэтрин Чиппинг
13-я	Джинджер Роджерс	Китти Фойл	Китти Фойл
13-я	Бетт Дейвис	Письмо	Лесли Кросби
13-я	Джоан Фонтейн	Ребекка	миссис де Винтер
13-я	Кэтрин Хепбёрн	Филадельфийская история	Трейси Лорд
13-я	Марта Скотт	Наш городок	Эмили Уэбб
14-я	Джоан Фонтейн	Подозрение	Лина Маклэйдлоу
14-я	Бетт Дейвис	Маленькие лисички	Регина Гидденс
14-я	Оливия де Хэвилленд	Задержите рассвет	Эмми Браун
14-я	Грир Гарсон	Цветы в пыли	Эдна Кали Гледни
14-я	Барбара Стэнвик	С огоньком	Кэтрин О’Ши
15-я	Грир Гарсон	Миссис Минивер	миссис Кей Минивер
15-я	Бетт Дейвис	Вперёд, путешественник	Шарлотта Вэйл
15-я	Кэтрин Хепбёрн	Женщина года	Тесс Хардинг
15-я	Розалинд Расселл	Моя сестра Эйлин	Рут Шервуд
15-я	Тереза Райт	Гордость янки	Элеонор Твитчелл Гериг
