Год/Церемония	Фильм	Кинокомпания(и)	Продюсер(ы)	Ссылки
1929	Крылья	Paramount Pictures, Famous Players-Lasky	Люсьен Хаббард	#cite_note-2
1929	Рэкет	Caddo, Paramount	Говард Хьюз	#cite_note-2
1929	Седьмое небо	Fox Film Corporation	Уильям Фокс	#cite_note-2
1930-I	Бродвейская мелодия	Metro-Goldwyn-Mayer	Ирвинг Талберг, Лоуренс Уэйнгартен	#cite_note-3
1930-I	Алиби	Feature Productions, United Artists	Роланд Уэст	#cite_note-3
1930-I	Голливудское ревю 1929 года	Metro-Goldwyn-Mayer	Гарри Рапф	#cite_note-3
1930-I	В старой Аризоне	Fox Film Corporation	Уинфилд Шихэн	#cite_note-3
1930-I	Патриот	Paramount Pictures	Эрнст Любич	#cite_note-3
1930-II	На западном фронте без перемен	Universal	Карл Леммле-мл.	#cite_note-4
1930-II	Казённый дом	Metro-Goldwyn-Mayer	Ирвинг Талберг	#cite_note-4
1930-II	Дизраэли	Warner Bros.	Джек Уорнер, Дэррил Фрэнсис Занук	#cite_note-4
1930-II	Парад любви	Paramount	Эрнст Любич	#cite_note-4
1930-II	Развод	Metro-Goldwyn-Mayer	Роберт Леонард	#cite_note-4
1931	Симаррон	RKO Radio Pictures	Уильям Лебарон	#cite_note-5
1931	Ист Линн	Fox Film Corporation	Уинфилд Шихэн	#cite_note-5
1931	Первая полоса	Caddo, United Artists	Говард Хьюз	#cite_note-5
1931	Скиппи	Paramount	Адольф Цукор	#cite_note-5
1931	Рожок торговца	Metro-Goldwyn-Mayer	Ирвинг Талберг	#cite_note-5
1932	Гранд-отель	Metro-Goldwyn-Mayer	Ирвинг Тальберг	#cite_note-6
1932	Эрроусмит	Goldwyn, United Artists	Сэмюэл Голдвин	#cite_note-6
1932	Плохая девчонка	Fox Film Corporation	Уинфилд Шихэн	#cite_note-6
1932	Чемпион	Metro-Goldwyn-Mayer	Кинг Видор	#cite_note-6
1932	Пятизвёздочный финал	First National	Хэл Б. Уоллис	#cite_note-6
1932	Один час с тобой	Paramount	Эрнст Любич	#cite_note-6
1932	Шанхайский экспресс	Paramount	Адольф Цукор	#cite_note-6
1932	Улыбающийся лейтенант	Paramount	Эрнст Любич	#cite_note-6
1934	Кавалькада	Fox Film Corporation	Уинфилд Шихэн	#cite_note-7
1934	Прощай, оружие!	Paramount	Адольф Цукор	#cite_note-7
1934	42-я улица	Warner Bros.	Дэррил Фрэнсис Занук	#cite_note-7
1934	Я — беглый каторжник	Warner Bros.	Хэл Б. Уоллис	#cite_note-7
1934	Леди на один день	Columbia Pictures	Фрэнк Капра	#cite_note-7
1934	Маленькие женщины	RKO Radio	Мериан К. Купер, Кеннет МакГауэн	#cite_note-7
1934	Частная жизнь Генриха VIII	London Films, United Artists	Александр Корда	#cite_note-7
1934	Она была неправа	Paramount	Уильям ЛеБарон	#cite_note-7
1934	Улыбка вопреки	Metro-Goldwyn-Mayer	Ирвинг Тальберг	#cite_note-7
1934	Ярмарки штата	Fox Film Corporation	Уинфилд Шихэн	#cite_note-7
1935	Это случилось однажды ночью	Columbia Pictures	Фрэнк Капра, Гарри Кон	#cite_note-8
1935	Барретты с Уимпоул-стрит	Metro-Goldwyn-Mayer	Ирвинг Тальберг	#cite_note-8
1935	Клеопатра	Paramount Pictures	Сесил Блаунт Демилль	#cite_note-8
1935	Дорожка флирта	First National	Джек Уорнер, Хэл Б. Уоллис, Роберт Лорд	#cite_note-8
1935	Весёлая разведённая	Warner Bros.	Лу Эдельман	#cite_note-8
1935	В дело вступает флот	RKO Radio	Мериан К. Купер, Кеннет МакГауэн	#cite_note-8
1935	Дом Ротшильдов	20th Century Fox, United Artists	Дэррил Фрэнсис Занук, Уильям Гетц, Рэймонд Гриффит	#cite_note-8
1935	Имитация жизни	Universal	Джон М. Стал	#cite_note-8
1935	Тонкий человек	Metro-Goldwyn-Mayer	Хант Стромберг	#cite_note-8
1935	Одна ночь любви	Columbia Pictures	Гарри Кон, Эверетт Рискин	#cite_note-8
1935	Вива Вилья!	Metro-Goldwyn-Mayer	Дэвид Селзник	#cite_note-8
1935	Белый парад	Fox Film Corporation	Джесси Ласки	#cite_note-8
1936	Мятеж на „Баунти“	Metro-Goldwyn-Mayer	Ирвинг Тальберг, Альберт Левин	#cite_note-9
